Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI_AD,2,Fusiform Gyrus,-0.028944958914264757,TL-O,AD
ADNI_AD,2,Gyrus Rectus,0.8053847562651784,FL,AD
ADNI_AD,2,Hippocampus,-0.2843323912126318,TL-M,AD
ADNI_AD,2,Inferior Occipital Gyrus,-0.24336179136910088,OL,AD
ADNI_AD,2,Inferior Temporal Gyrus,-0.2343237478991954,TL-O,AD
ADNI_AD,2,Lateral Orbital Gyrus,0.4739629969726751,FL,AD
ADNI_AD,2,Lingual Gyrus,0.07974020693653444,OL,AD
ADNI_AD,2,Medial Frontal Cortex,0.8736680793080651,FL,AD
ADNI_AD,2,Medial Orbital Gyrus,0.614382217007534,FL,AD
ADNI_AD,2,Middle Cingulate Gyrus,0.7767665647549203,Cing,AD
ADNI_AD,2,Middle Frontal Gyrus,0.692699457037074,FL,AD
ADNI_AD,2,Middle Occipital Gyrus,-0.08820291598295488,OL,AD
ADNI_AD,2,Middle Temporal Gyrus,0.05653905525799597,TL-O,AD
